#Bond	 MDR
0.200000	 10.683181
0.400000	 6.319493
0.600000	 4.897232
0.800000	 4.198943
1.000000	 3.788097
1.200000	 3.518076
1.400000	 3.328105
1.600000	 3.188157
1.800000	 3.080642
2.000000	 2.995654
2.500000	 2.845587
3.000000	 2.748289
3.500000	 2.681023
4.000000	 2.631812
4.500000	 2.594449
5.000000	 2.565252
5.500000	 2.541906
6.000000	 2.522885
6.500000	 2.507144
7.000000	 2.493944
7.500000	 2.482749
8.000000	 2.473162
8.500000	 2.464882
9.000000	 2.457676
9.500000	 2.451363
10.000000	 2.445800
