#Bond	 MDR
0.200000	 11.820861
0.400000	 7.109557
0.600000	 5.577500
0.800000	 4.828295
1.000000	 4.388046
1.200000	 4.099774
1.400000	 3.896836
1.600000	 3.747719
1.800000	 3.633457
2.000000	 3.543213
2.500000	 3.384093
3.000000	 3.281372
3.500000	 3.210458
4.000000	 3.158683
4.500000	 3.119451
5.000000	 3.088856
5.500000	 3.064441
6.000000	 3.044589
6.500000	 3.028195
7.000000	 3.014475
7.500000	 3.002865
8.000000	 2.992943
8.500000	 2.984392
9.000000	 2.976967
9.500000	 2.970477
10.000000	 2.964771
