#Bond	 MDR
0.200000	 13.012111
0.400000	 7.956927
0.600000	 6.319906
0.800000	 5.522104
1.000000	 5.053217
1.200000	 4.747809
1.400000	 4.533002
1.600000	 4.375109
1.800000	 4.254592
2.000000	 4.159487
2.500000	 3.992026
3.000000	 3.884499
3.500000	 3.810290
4.000000	 3.756215
4.500000	 3.715321
5.000000	 3.683492
5.500000	 3.658143
6.000000	 3.637574
6.500000	 3.620622
7.000000	 3.606465
7.500000	 3.594510
8.000000	 3.584316
8.500000	 3.575550
9.000000	 3.567956
9.500000	 3.561333
10.000000	 3.555524
