#Bond	 MDR
0.200000	 14.260051
0.400000	 8.871499
0.600000	 7.131169
0.800000	 6.285252
1.000000	 5.789567
1.200000	 5.468064
1.400000	 5.242237
1.600000	 5.076294
1.800000	 4.950035
2.000000	 4.850479
2.500000	 4.675414
3.000000	 4.563700
3.500000	 4.486550
4.000000	 4.430438
4.500000	 4.388085
5.000000	 4.355184
5.500000	 4.329033
6.000000	 4.307856
6.500000	 4.290437
7.000000	 4.275922
7.500000	 4.263690
8.000000	 4.253282
8.500000	 4.244352
9.000000	 4.236634
9.500000	 4.229919
10.000000	 4.224044
