#Bond	 MDR
0.200000	 10.211771
0.400000	 5.998081
0.600000	 4.622450
0.800000	 3.946901
1.000000	 3.548529
1.200000	 3.287311
1.400000	 3.103147
1.600000	 2.966744
1.800000	 2.862043
2.000000	 2.779666
2.500000	 2.634094
3.000000	 2.539588
3.500000	 2.473767
4.000000	 2.425587
4.500000	 2.388984
5.000000	 2.360365
5.500000	 2.337468
6.000000	 2.318801
6.500000	 2.303344
7.000000	 2.290374
7.500000	 2.279368
8.000000	 2.269936
8.500000	 2.261785
9.000000	 2.254687
9.500000	 2.248464
10.000000	 2.242977
