#Bond	 MDR
0.200000	 10.364281
0.400000	 6.101692
0.600000	 4.710833
0.800000	 4.027613
1.000000	 3.625399
1.200000	 3.361308
1.400000	 3.175150
1.600000	 3.037295
1.800000	 2.932039
2.000000	 2.848808
2.500000	 2.701765
3.000000	 2.606340
3.500000	 2.539905
4.000000	 2.491292
4.500000	 2.454374
5.000000	 2.425549
5.500000	 2.402573
6.000000	 2.383839
6.500000	 2.368325
7.000000	 2.355305
7.500000	 2.344255
8.000000	 2.334784
8.500000	 2.326598
9.000000	 2.319468
9.500000	 2.313217
10.000000	 2.307704
