#Bond	 MDR
0.200000	 10.408027
0.400000	 6.131478
0.600000	 4.736276
0.800000	 4.050867
1.000000	 3.647561
1.200000	 3.382650
1.400000	 3.195924
1.600000	 3.057814
1.800000	 2.952245
2.000000	 2.868771
2.500000	 2.721309
3.000000	 2.625623
3.500000	 2.559012
4.000000	 2.510276
4.500000	 2.473295
5.000000	 2.444514
5.500000	 2.421487
6.000000	 2.402713
6.500000	 2.387167
7.000000	 2.374122
7.500000	 2.363051
8.000000	 2.353564
8.500000	 2.345365
9.000000	 2.338224
9.500000	 2.331964
10.000000	 2.326444
