#Bond	 MDR
0.200000	 10.906172
0.400000	 6.343512
0.600000	 4.766374
0.800000	 3.954955
1.000000	 3.456635
1.200000	 3.119019
1.400000	 2.874156
1.600000	 2.687919
1.800000	 2.542124
2.000000	 2.424540
2.500000	 2.210949
3.000000	 2.067844
3.500000	 1.965893
4.000000	 1.889816
4.500000	 1.831206
5.000000	 1.784909
5.500000	 1.747580
6.000000	 1.716946
6.500000	 1.691412
7.000000	 1.670000
7.500000	 1.651859
8.000000	 1.636171
8.500000	 1.622614
9.000000	 1.610879
9.500000	 1.600407
10.000000	 1.591397
