#Bond	 MDR
0.200000	 10.660944
0.400000	 6.183362
0.600000	 4.635805
0.800000	 3.839608
1.000000	 3.351050
1.200000	 3.019825
1.400000	 2.779267
1.600000	 2.596564
1.800000	 2.453480
2.000000	 2.337667
2.500000	 2.127986
3.000000	 1.986978
3.500000	 1.886301
4.000000	 1.811300
4.500000	 1.753409
5.000000	 1.707585
5.500000	 1.670554
6.000000	 1.640172
6.500000	 1.615001
7.000000	 1.593742
7.500000	 1.575548
8.000000	 1.559972
8.500000	 1.546545
9.000000	 1.534666
9.500000	 1.524445
10.000000	 1.515256
