#Bond	 MDR
0.200000	 11.029688
0.400000	 6.424423
0.600000	 4.832476
0.800000	 4.013441
1.000000	 3.510499
1.200000	 3.169416
1.400000	 2.922409
1.600000	 2.734606
1.800000	 2.587257
2.000000	 2.468798
2.500000	 2.253258
3.000000	 2.109299
3.500000	 2.006551
4.000000	 1.929945
4.500000	 1.870986
5.000000	 1.824464
5.500000	 1.786996
6.000000	 1.756285
6.500000	 1.730717
7.000000	 1.709122
7.500000	 1.690946
8.000000	 1.675308
8.500000	 1.661629
9.000000	 1.649935
9.500000	 1.639526
10.000000	 1.630424
