#Bond	 MDR
0.200000	 11.403884
0.400000	 6.670531
0.600000	 5.034091
0.800000	 4.192189
1.000000	 3.675388
1.200000	 3.324361
1.400000	 3.070444
1.600000	 2.877985
1.800000	 2.726650
2.000000	 2.604909
2.500000	 2.384577
3.000000	 2.237122
3.500000	 2.132074
4.000000	 2.054271
4.500000	 1.994430
5.000000	 1.947238
5.500000	 1.909245
6.000000	 1.878112
6.500000	 1.852386
7.000000	 1.830821
7.500000	 1.812424
8.000000	 1.796548
8.500000	 1.783078
9.000000	 1.771182
9.500000	 1.760831
10.000000	 1.751687
