#Bond	 MDR
0.200000	 11.091673
0.400000	 6.465088
0.600000	 4.865733
0.800000	 4.042888
1.000000	 3.537636
1.200000	 3.194816
1.400000	 2.946739
1.600000	 2.758156
1.800000	 2.610027
2.000000	 2.491135
2.500000	 2.274673
3.000000	 2.130241
3.500000	 2.027096
4.000000	 1.950229
4.500000	 1.891098
5.000000	 1.844466
5.500000	 1.806931
6.000000	 1.776185
6.500000	 1.750602
7.000000	 1.729008
7.500000	 1.710725
8.000000	 1.695114
8.500000	 1.681466
9.000000	 1.669702
9.500000	 1.659336
10.000000	 1.650180
